model,strategy,deg_type_trained,eval_degradation,eval_severity,mean,std,count,formatted
resnet18,mixed,none,contrast,1,92.404,0.05549774770204972,5,92.40 ± 0.06
resnet18,mixed,none,contrast,2,92.434,0.07536577472566905,5,92.43 ± 0.08
resnet18,mixed,none,contrast,3,92.124,0.26273560854973627,5,92.12 ± 0.26
resnet18,mixed,none,darkening,1,92.422,0.13736811857195527,5,92.42 ± 0.14
resnet18,mixed,none,darkening,2,92.4,0.16970562748476972,5,92.40 ± 0.17
resnet18,mixed,none,darkening,3,92.314,0.20329781110479572,5,92.31 ± 0.20
resnet18,mixed,none,gaussian_blur,1,90.476,0.13667479650615852,5,90.48 ± 0.14
resnet18,mixed,none,gaussian_blur,2,84.956,0.14258330898110053,5,84.96 ± 0.14
resnet18,mixed,none,gaussian_blur,3,78.49600000000001,0.36637412572396016,5,78.50 ± 0.37
resnet18,mixed,none,gaussian_noise,1,91.816,0.20947553556441956,5,91.82 ± 0.21
resnet18,mixed,none,gaussian_noise,2,90.878,0.12397580409095633,5,90.88 ± 0.12
resnet18,mixed,none,gaussian_noise,3,88.69200000000001,0.10848963084093224,5,88.69 ± 0.11
resnet18,mixed,none,jpeg,1,89.378,0.16902662512160577,5,89.38 ± 0.17
resnet18,mixed,none,jpeg,2,87.54400000000001,0.24419254697881343,5,87.54 ± 0.24
resnet18,mixed,none,jpeg,3,80.12,0.29958304357890575,5,80.12 ± 0.30
resnet18,mixed,none,motion_blur,1,91.59400000000001,0.12361229712290134,5,91.59 ± 0.12
resnet18,mixed,none,motion_blur,2,90.65599999999999,0.12778888840583755,5,90.66 ± 0.13
resnet18,mixed,none,motion_blur,3,88.77000000000001,0.18425525772688953,5,88.77 ± 0.18
resnet18,single,gaussian_blur,clean,0,86.038,0.864274262025659,5,86.04 ± 0.86
resnet18,single,gaussian_blur,contrast,1,85.988,0.5887868884409673,5,85.99 ± 0.59
resnet18,single,gaussian_blur,contrast,2,84.462,0.589974575723396,5,84.46 ± 0.59
resnet18,single,gaussian_blur,contrast,3,78.338,1.1509648126680487,5,78.34 ± 1.15
resnet18,single,gaussian_blur,darkening,1,85.54400000000001,1.0147561283382347,5,85.54 ± 1.01
resnet18,single,gaussian_blur,darkening,2,82.98400000000001,1.199699962490619,5,82.98 ± 1.20
resnet18,single,gaussian_blur,darkening,3,74.86,2.1718080025637625,5,74.86 ± 2.17
resnet18,single,gaussian_blur,gaussian_blur,1,87.52799999999999,0.5792408825350638,5,87.53 ± 0.58
resnet18,single,gaussian_blur,gaussian_blur,2,85.138,0.4861275552774177,5,85.14 ± 0.49
resnet18,single,gaussian_blur,gaussian_blur,3,81.268,0.3122018577779466,5,81.27 ± 0.31
resnet18,single,gaussian_blur,gaussian_noise,1,84.554,0.6825540271656192,5,84.55 ± 0.68
resnet18,single,gaussian_blur,gaussian_noise,2,77.22200000000001,0.923942638912175,5,77.22 ± 0.92
resnet18,single,gaussian_blur,gaussian_noise,3,59.541999999999994,1.059561229943795,5,59.54 ± 1.06
resnet18,single,gaussian_blur,jpeg,1,76.998,0.5063299319613632,5,77.00 ± 0.51
resnet18,single,gaussian_blur,jpeg,2,73.718,0.3609986149557918,5,73.72 ± 0.36
resnet18,single,gaussian_blur,jpeg,3,61.251999999999995,0.48950995904066885,5,61.25 ± 0.49
